"instId";"inst_name";"rgx_match";"rgx_no_match"
230;"Texas A&M University–Corpus Christi (TAMUCC)";"(?:(?=.*texas)(?=.*a ?& ?m)(?=.*(?:corp|chris)))|\btamucc\b";"king|healt|\bhsc\b|galv|west|mays"
231;"Texas A&M Health Science Center";"(?=.*texas)(?=.*a ?& ?m)(?=.*(?:healt|\bhsc\b))";"king|corp|chris|galv|west|mays"
232;"Mays Business School - Texas A&M University (TAMU)";"mays";NA
233;"University of Texas Medical Branch, Galveston";"(?:(?=.*texas)(?=.*med)(?=.*bran))|galveston|\butmb\b";NA
234;"University of Calgary";"calgary";"haskay|business"
235;"Haskayne School of Business | University of Calgary";"haskayne";NA
236;"Ohio University";"ohio";"stat|north|miami|dayton"
237;"Northeast Ohio AuD Consortium";"(?:(?=.*north)(?=.*ohio)(?=.*aud))|\bnoac\b";NA
238;"London School of Economics and Political Science (LSE)";"(?:(?=.*london)(?=.*sch)(?=.*econ))|\blse\b";NA
239;"Imperial College London";"imperial";"academy"
240;"University College London (UCL)";"(?:(?=.*uni)(?=.*col)(?=.*london))|\bucl\b";"king|comm?un"
241;"London Business School";"(?:(?=.*london)(?=.*bus)(?=.*sch))|\blbs\b";NA
242;"Sciences Po (Paris Institute of Political Studies)";"(?=.*scien)(?=.*\bpo\b)";NA
243;"University of Western Ontario (UWO)";"(?=.*west)(?=.*ontario)";"richard|ivey|business"
244;"Richard Ivey Business School | University of Western Ontario (UWO)";"(?=.*ivey)(?=.*(?:richard|ontario|business))";NA
245;"Ryerson University";"ryerson";NA
246;"West Virginia University";"(?=.*west)(?=.*virgin)";NA
247;"University of California, San Francisco (UCSF)";"(?:(?:(?:(?=.*uni)(?=.*cali))|(?=.*uc))(?=.*fran))|\bucsf\b";NA
248;"Carleton University";"carleton";"sprott"
249;"Sprott School of Business | Carleton University";"sprott";NA
250;"University of Ottawa";"ottawa";"carl|telfer"
251;"Telfer School of Management | University of Ottawa";"telfer";NA
252;"University of North Texas";"(?=.*north)(?=.*texas)";NA
253;"King Abdullah University of Science and Technology (KAUST)";"(?:(?=.*king)(?=.*abdul))|\bkaust\b";NA
254;"Case Western Reserve University (CWRU)";"(?:(?=.*case)(?=.*west))|\bcwru\b";"weat|head"
255;"Weatherhead School Of Management | Case Western Reserve University (CWRU)";"weather ?head";NA
256;"INSEAD";"insead";NA
257;"University of Akron";"akron";"noac"
258;"Montclair State University";"montclair";NA
259;"University of California, Riverside (UC Riverside / UCR)";"(?:(?:(?:(?=.*uni)(?=.*cali))|(?=.*uc))(?=.*(?:river|side)))|\bucr\b";NA
260;"Long Island University, Post (LIU Post / C.W. Post)";"\bpost\b";NA
261;"Claremont Graduate University";"claremont";NA
262;"Old Dominion University (ODU)";"dominion?";NA
263;"James Madison University";"(?=.*james)(?=.*madison)";NA
264;"Valdosta State University";"valdosta";NA
265;"University of Vermont";"vermont";"law|vcfa|(?:(?=.*fine)(?=.*art))"
266;"Vermont Law School";"(?=.*vermont)(?=.*law)";NA
267;"Vermont College of Fine Arts";"(?=.*vermont)(?=.*fine)(?=.*art)";NA
268;"Louisiana State University";"(?:(?=.*louisiana)(?=.*stat))|\blsu\b";"south|monro|port|new|orlean|health|hsc"
269;"Louisiana State University Health Sciences Center New Orleans (LSUHSC)";"(?:(?:(?=.*louisiana)(?=.*stat))|(?=.*lsu))(?=.*(?:hsc|health))";"port"
270;"Louisiana State University Health Sciences Center Shreveport";"(?:(?:(?=.*louisiana)(?=.*stat))|(?=.*lsu))(?=.*(?:hsc|health))(?=.*port)";NA
271;"Louisiana State University Shreveport";"(?=(?:(?=.*louisiana)(?=.*stat))|(?=.*lsu))(?=.*port)";"health|hsc"
272;"University of Louisiana at Monroe";"(?=.*louisiana)(?=.*monro)";"stat"
273;"Louisiana Tech University";"(?=.*louisiana)(?=.*tech)";NA
274;"University of Louisiana at Lafayette";"(?=.*louisiana)(?=.*fayet)";NA
275;"University of Louisville";"louisville";NA
276;"Nova Southeastern University";"\bnova\b";NA
277;"University of Wisconsin–Milwaukee";"(?=.*wiscon)(?=.*milwa)";NA
278;"Illinois State University";"(?=.*ill?inois)(?=.*stat)";"sout|nort|east"
279;"Northern Illinois University";"(?=.*ill?inois)(?=.*north)";"sout|east|stat"
280;"Eastern Illinois University";"(?=.*ill?inois)(?=.*east)";"sout|nort|stat"
281;"San Diego State University";"(?=.*san)(?=.*dieg)(?=.*stat)";NA
282;"University of Wyoming";"wyoming";NA
283;"Radford University";"radford";NA
284;"Dalhousie University";"dalhous";NA
285;"Kean University";"\bkeane?\b";NA
286;"Villanova University";"villanova";NA
287;"La Salle University";"\bsalle\b";NA
288;"Chapman University";"chapman";NA
289;"University at Albany - State University of New York (SUNY Albany)";"\balbany\b";NA
290;"University of Massachusetts Boston (UMass Boston)";"(?=.*mass)(?=.*boston)";NA
291;"Molloy College";"molloy";NA
292;"Binghamton University - State University of New York (SUNY Binghamton)";"binghamp?ton";NA
293;"Wake Forest University";"(?=.*wake)(?=.*forest)";NA
294;"Xavier University";"xavier";"\bst\b|sain"
295;"Saint Xavier University";"(?=.*(?:\bst\b|sain))(?=.*xavier)";NA
296;"Concordia University";"concordia";"john|molson|jmsb"
297;"John Molson School of Business | Concordia University";"(?=.*concor)(?=.*molson)";NA
298;"Clark University";"\bclark\b";"lewis|atlanta"
299;"Lewis & Clark College";"(?=.*lewis)(?=.*clark)";NA
300;"Clark Atlanta University";"(?=.*atlanta)(?=.*clark)";NA
301;"Clarkson University";"clarkson";NA
302;"University of Texas at Dallas (UT Dallas / UTD)";"(?:(?=.*(?:texas|\but\b))(?=.*dallas))|\butd\b";"south|nav|jindal|jsom|management"
303;"Naveen Jindal School of Management | University of Texas at Dallas (UT Dallas / UTD)";"naveen|jindal";NA
304;"Duquesne University";"duquesn";NA
305;"Gallaudet University";"gallaudet";NA
306;"Nazareth College";"nazaret";NA
307;"University of Suffolk";"suffolk";NA
308;"Oklahoma State University–Stillwater (OSU)";"(?=.*okla)(?=.*stat)";"tulsa"
309;"Oklahoma State University–Tulsa";"(?=.*okla)(?=.*stat)(?=.*tulsa)";NA
310;"University of New Hampshire";"(?=.*new)(?=.*hampshir)";NA
311;"Texas Tech University";"(?=.*texas)(?=.*tech)";NA
312;"University of Montana";"montana";"stat"
313;"Montana State University";"(?=.*montana)(?=.*stat)";NA
314;"Appalachian State University";"appalach";NA
315;"Colorado School of Mines";"(?=.*color)(?=.*mine)";NA
316;"University of Alabama";"alabama";"birmin|hunt|sout|west|a ?& ?m"
317;"University of Alabama at Birmingham";"(?=.*alabama)(?=.*birmin)";NA
318;"University of Alabama in Huntsville";"(?=.*alabama)(?=.*hunt)";NA
319;"University of South Alabama";"(?=.*alabama)(?=.*south)";NA
320;"University of West Alabama";"(?=.*alabama)(?=.*west)";NA
321;"Alabama A&M University";"(?=.*alabama)(?=.*a ?& ?m)";NA
322;"Cleveland State University";"(?=.*cleveland)(?=.*stat)";NA
323;"Mississippi University for Women";"(?=.*miss?i)(?=.*women)";NA
324;"Mississippi State University";"(?=.*miss?i)(?=.*stat)";NA
325;"University of Mississippi";"miss?is|ole ?mis";"women|stat|south"
326;"University of Southern Mississippi";"(?=.*miss?i)(?=.*south)";NA
